id,comment,,
275,: 灣雙權後援會的應援物XD,,
276,: 早在SWF之前電視台就剪過他們的直拍,,
277,: 雙權怎麼也都沒變！BB時代就很紅了,,
278,: 真的帥,,
279,: 雙胞胎不是已經紅很久了XD,,
280,: 但smf的表現，覺得妹妹亮眼很多xd,,
281,: 雙權紅很久了啦但真的很帥哈哈哈,,
282,: 雙權我這個不飯歪居家的都認識XD,,
283,: 權雙還當過YG練習生呢，跟昇潤、秦禹,,
284,: 同團練習過,,
285,: 只有一位當過練習生啦 忘記是哥哥還,,
286,: 弟弟了,,
287,: 他們還有直拍 官方人氣歌謠有上傳我,,
288,: 看好多次,,
289,: 推一下帥哥雙權XD,,
290,: 權雙是我入Kpop圈最早認識的舞者哈哈,,
291,: 有開IG嗎,,
292,: 是弟弟！但他也沒有當很久就又回去跳,,
293,: 舞了,,
294,: 推雙權,,
295,: 看yt很多人說追BP都知道他們,,
296,: 但雙權真的在BB 21超紅,,
297,: 最經典真的是CL MTBD演唱會影片吧,,
298,: https://youtu.be/9kmFZ1ZZ2Oo,,
299,: 弟弟唱歌很好聽,,
300,: 有什麼好肉搜的哈哈 雙權至少紅10年,,
301,: 有了吧,,
302,: 雙權每一首伴舞都很容易分到觀眾目光,,
303,: 但21的GO AWAY回歸舞台特別經典,,
304,: https://youtu.be/vbN6vxG52RY,,
305,: 雙權在BB時期就很有名了啊,,
306,: https://youtu.be/cQ6xU7SSEn4 MTBD超,,
307,: 經典,,
308,: 他們IG可能比一堆偶像還多,,
309,: 我還以為是指誰 雙權真的是從BB時期就,,
310,: 知道了XD,,
311,: GD還曾開玩笑說粉絲送他們的禮物比送給BB,,
312,: 的多,,
313,: 看到標題也以為是別的dancer，沒想到還是,,
314,: 雙權，雙權是不需要粉絲肉搜的程度吧XD,,
315,: 不認識的人應該很年輕XD,,
316,: 雙權需要用男舞者當標題嗎XD還以為講別,,
317,: 人,,
318,: 影片剛出就有發現，超可愛,,
319,: 居然在這裡看到雙權的新聞 想到21來台灣開,,
320,: 演唱會的時候 我幾度被他們兄弟吸過去XDD,,
321,: 以前就很有名了啊XD,,
322,: 雙權還有需要肉搜嗎哈哈哈,,
323,: 雙權真滴帥,,
324,: 雙權很帥 笑起來更可愛,,
325,: 印象中演唱會有送給雙權的花圈,,
326,: 雙權紅超久了耶,,
327,: 雙權超紅 想認識他們可以去看SMF 雖然一,,
328,: 直被虐但兄弟倆個性真的很好,,
329,: Rose On The Ground時期也有他們的直拍,,
330,: 啊，而且都破百萬XD,,
331,: 又搞台獨,,
332,: 免費廣告賺翻了,,
333,: 我現在覺得屋馬哥是真粉了，居然搶到,,
334,: 一樓,,
335,: 那個台灣製造真的超顯眼笑死,,
336,: 台獨！台獨！,,
337,: XD,,
338,: 支那韭菜：舉報珍妮台獨！！,,
339,: 其實yg已經台獨很多次了，越辱對岸越愛,,
340,: 乳華,,
341,: 騰訊不是有YG持股嗎！？,,
342,: 兩位都很美,,
343,: 乳了XD,,
344,: 一樓真的是真粉了！好愛發囉BP,,
345,: 真的賺死了XD，IG上的品牌名字沒被馬賽克,,
346,: 威技或成最大贏家,,
347,: 滯台中國腦跟五毛小粉紅集體暴怒ing,,
348,: 威技賺爛,,
349,: 躺在家直接賺到ig五百萬讚規模的廣告,,
350,: 寫得好像她真的跟冷氣合照……看照片明明,,
351,: 就背景= =,,
352,: 廣告賺死 省了不知道多少錢XDDD,,
353,: ？？什麼啊哈哈哈,,
354,: 那台冷氣外型好本土XD,,
355,: 基本上小粉紅的對策是越台獨越辱華越愛，,,
356,: YG不要怕他們會照樣買單的,,
357,: 冷氣算是對鏡自拍入鏡，但廠商名字很明,,
358,: 顯XD,,
359,: 小粉紅：台獨實錘了！,,
360,: 只要不是中華民國護照都不是原罪越辱越,,
361,: 香,,
362,: https://i.imgur.com/Jvx1PgY.jpg,,
363,: 第二張,,
364,: 證明只要紅到全世界 小粉紅崩潰也沒,,
365,: 半點影響,,
366,: 小粉紅看到會氣噗噗,,
367,: 笑死 真的很大的廣告,,
368,: 漂亮！,,
369,: 該公司今年不用編廣告預算了XD,,
370,: 廠商一定超開心 賺爛XD,,
371,: 而且現在應該還是香港才能用IG吧，小粉紅,,
372,: 翻牆就被鎖網不用怕,,
373,: 笑死 廣告預算直接省起來,,
374,: 一 台獨 立冷氣機,,
375,: 宣傳台灣兩字應該比品牌效益大吧！刺,,
376,: 激到買冷氣的客群還是有限,,
377,: 在台灣就幫忙業配，一定4台獨份子！,,
378,: 免費廣告,,
379,: 爽啦台獨冷氣機XD,,
380,: 為什麼會放這麼大台的冷氣XD超顯眼超,,
381,: 怪,,
382,: 威技滿好用的！,,
383,: 馬上下訂,,
384,: 紅到全世界 別說抵制 小粉紅自己都會,,
385,: 貼上來  真香,,
386,: 廠商真的賺爛,,
387,: 威技賺到免費的廣告,,
388,: 免費廣告行銷 get,,
389,: XDDD,,
390,: 台灣製造！,,
391,: 真的台獨耶！立刻按讚！！,,
392,: 笑死XDD,,
393,: 以後後台會出現很多免費贊助的東西,,
394,: 這都能高潮？跟小粉紅差不多XD,,
395,: 推台灣製造,,
396,: 威技的大台除濕機超好用的 又便宜,,
397,: 推威技,,
398,: 真的賺爛了！甚至台灣製造超明顯還,,
399,: 兩張XD上次隔壁迪卡酸她們不發台灣,,
400,: 的應該要閉嘴了吧,,
401,: 這廣告效益 賺翻,,
402,: 推台灣製造,,
403,: 好可愛！,,
404,: 突然有強烈的土風舞感 但還是超美,,
405,: 喝醉的Jisoo好可愛,,
406,: 被泳知笑死XD,,
407,: 真的醉了,,
408,: 影片真的笑死 Jisoo也放超開,,
409,: 醉到肚子都紅了XDDDD,,
410,: 感覺舞感更好欸,,
411,: 智秀醉到都站不穩了XD,,
412,: 泳知有一種獨特的魅力，看似搞笑但其實,,
413,: 既成熟又可靠。,,
414,: 難得不會一直看智秀被吸走目光XD,,
415,: 泳知好可愛喔,,
416,: 泳知好適合這首歌哈哈哈,,
417,: Jisoo身材真棒,,
418,: Jisoo這裡跳得還不錯啊！好看,,
419,: Jisoo醉到泳知都堂皇XD,,
420,: 智秀好可愛,,
421,: 專版,,
422,: 超可愛,,
423,: 這期很好笑XD,,
424,: 泳知和地遊裡的斜眼跳法一樣..超好,,
425,: 笑,,
426,: 超好笑 哈哈哈,,
427,: Jisoo超可愛,,
428,: 泳知真的太搞笑了啦XDDD,,
429,: 竟然有韓國留言說像湯唯，害我突然覺得,,
430,: 很像,,
431,: 覺得為什麼酸民和唯粉這麼希望她們不,,
432,: 合，一起走來這麼多年她們看起來感情,,
433,: 很好啊，紅團的黑酸跟毒唯真的很多..,,
434,: .我家也是，只是成員solo沒有在自己i,,
435,: ns上宣傳就被毒唯罵爆,,
436,: 毒唯本來就是笑話，被正主認證,,
437,: 好好笑 有中國內味兒了,,
438,: 剛看完影片 一如既往好笑 Jisoo真的好,,
439,: 可愛><,,
440,: 影片的Jisoo好可愛 很侃侃而談,,
441,: 同團粉絲吵架互尬只是讓藝人為難尷尬,,
442,: 救命！喝醉超可愛,,
443,: Jisoo個性真的很圈粉,,
444,: 毒唯看到自己被正主當笑話不知道會不會,,
445,: 崩潰XD,,
446,: 毒唯有Solo不飯自己犯X去跟團也不知在,,
447,: 想啥,,
448,: 這段真的很好笑 毒唯就是一個笑話,,
449,: 毒唯不會崩潰 會說迫於商業演戲而已,,
450,: 好可愛XD,,
451,: 毒唯是連親姊妹都會罵的那種，罵團員小,,
452,: 意思XD,,
453,: Jisoo超可愛哈哈哈,,
454,: 毒唯真的不會崩潰 但也真的是笑話～ 很,,
455,: 開心她們都不會受到影響 BP本來就是姐,,
456,: 控團在那邊唯什麼唯XD,,
457,: 毒唯真的很神奇XDDD 原來他們也知道自家粉,,
458,: 絲愛網內互打,,
459,: \推推/,,
